"Date","adjElecProdVolume","eskomElecConsumedStationsSA","eskomElecDistSA","eskomElecProducedSA","eskomExports","eskomImports","total_Exports","total_Imports","totalElecConsumedStationsSA","totalElecDistSA_SeasonalAdj","totalElecDistSA_Unadjusted","totalElecProducedSA","unadjustedElecProdVolume","totalElecDistEC_SeasonalAdj","totalElecDistFS_SeasonalAdj","totalElecDistGAU_SeasonalAdj","totalElecDistKZN_SeasonalAdj","totalElecDistLP_SeasonalAdj","totalElecDistMP_SeasonalAdj","totalElecDistNC_SeasonalAdj","totalElecDistNW_SeasonalAdj","totalElecDistWC_SeasonalAdj","unadjustedTotalElecProducedSA"
"1985-01-01",54.9,892,9201,10085,76,82,76,86,1058,10461,10073,11119,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-02-01",54.9,789,8776,9448,69,186,69,190,898,10693,9662,10439,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-03-01",55.5,882,9780,10699,79,42,79,47,978,10620,10650,11660,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-04-01",56.2,878,9361,10241,70,68,70,74,982,10783,10236,11214,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-05-01",56.1,892,10150,11086,84,40,84,46,1001,10781,11052,12091,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-06-01",56.5,866,10170,11055,85,66,85,71,998,10917,11322,12334,58.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-07-01",55.9,947,10613,11630,95,25,95,30,1075,10749,11835,12975,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-08-01",56.3,896,10410,11394,95,7,95,13,1023,10820,11516,12621,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-09-01",56.5,847,9883,10825,96,1,96,5,963,10854,10806,11860,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-10-01",55.9,771,10207,11071,93,0,93,0,883,10814,11005,11981,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985-11-01",56.7,798,10044,10933,91,0,91,0,906,10908,10779,11776,55.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
